DATA MOV.;DATA VALOR;DESCRIÇÃO;IMPORTÂNCIA;SALDO CONTABILÍSTICO
2020-05-04;2020-05-04;SP-00026322892 SECURITAS DIREC;-50,38;4.005,74
2020-05-05;2020-05-05;SP-00531446107 VODAFONE PORTUG;-82,53;3.923,21
2020-05-05;2020-05-05;COMISSÃO MANUTENÇÃO DE CONTA;-5,00;3.918,21
2020-05-05;2020-05-05;I.SELO OP.BANC.;-0,20;3.918,01
2020-05-07;2020-05-07;SP-10367661    MAFEP MATERIAL;-29,52;3.888,49
2020-05-12;2020-05-12;SP-P05100001520EDP SERVICO UNI;-14,81;3.873,68
2020-05-15;2020-05-15;SP-P05100001520EDP SERVICO UNI;-205,09;3.668,59
2020-05-26;2020-05-26;DISPONIB. CARTÃO DÉBITO   7681;-17,50;3.651,09
2020-05-26;2020-05-26;I.SELO OP.BANC.;-0,70;3.650,39
2020-05-27;2020-05-27;TR-JOSE ANTONIO AZEVEDO UNIPES;4.500,00;8.150,39
2020-05-28;2020-05-28;SP-96611566046 Servicos Munici;-14,11;8.136,28
2020-05-28;2020-05-28;PAG.ESP.  PAG-ESTADO;-250,00;7.886,28
2020-05-30;2020-05-30;PAG.ESP.  PAG-ESTADO;-362,69;7.523,59
2020-05-30;2020-05-30;COMPRA   LEROY MERLIN SINTRA;-180,41;7.343,18
